row id,sepal_length,sepal_width,class
139,4.8,1.8,Iris-virginica
26,1.6,0.2,Iris-setosa
57,4.7,1.6,Iris-versicolor
136,6.1,2.3,Iris-virginica
96,4.2,1.2,Iris-versicolor
79,4.5,1.5,Iris-versicolor
81,3.8,1.1,Iris-versicolor
18,1.4,0.3,Iris-setosa
21,1.7,0.2,Iris-setosa
106,6.6,2.1,Iris-virginica
10,1.5,0.1,Iris-setosa
30,1.6,0.2,Iris-setosa
92,4.6,1.4,Iris-versicolor
2,1.4,0.2,Iris-setosa
112,5.3,1.9,Iris-virginica
29,1.4,0.2,Iris-setosa
76,4.4,1.4,Iris-versicolor
38,1.5,0.1,Iris-setosa
3,1.3,0.2,Iris-setosa
53,4.9,1.5,Iris-versicolor
95,4.2,1.3,Iris-versicolor
40,1.5,0.2,Iris-setosa
109,5.8,1.8,Iris-virginica
115,5.1,2.4,Iris-virginica
88,4.4,1.3,Iris-versicolor
25,1.9,0.2,Iris-setosa
58,3.3,1.0,Iris-versicolor
41,1.3,0.3,Iris-setosa
52,4.5,1.5,Iris-versicolor
123,6.7,2.0,Iris-virginica
34,1.4,0.2,Iris-setosa
19,1.7,0.3,Iris-setosa
121,5.7,2.3,Iris-virginica
102,5.1,1.9,Iris-virginica
128,4.9,1.8,Iris-virginica
55,4.6,1.5,Iris-versicolor
113,5.5,2.1,Iris-virginica
131,6.1,1.9,Iris-virginica
97,4.2,1.3,Iris-versicolor
150,5.1,1.8,Iris-virginica
93,4.0,1.2,Iris-versicolor
71,4.8,1.8,Iris-versicolor
90,4.0,1.3,Iris-versicolor
69,4.5,1.5,Iris-versicolor
73,4.9,1.5,Iris-versicolor
45,1.9,0.4,Iris-setosa
46,1.4,0.3,Iris-setosa
114,5.0,2.0,Iris-virginica
70,3.9,1.1,Iris-versicolor
35,1.5,0.1,Iris-setosa
148,5.2,2.0,Iris-virginica
129,5.6,2.1,Iris-virginica
75,4.3,1.3,Iris-versicolor
149,5.4,2.3,Iris-virginica
42,1.3,0.3,Iris-setosa
116,5.3,2.3,Iris-virginica
110,6.1,2.5,Iris-virginica
91,4.4,1.2,Iris-versicolor
86,4.5,1.6,Iris-versicolor
127,4.8,1.8,Iris-virginica
48,1.4,0.2,Iris-setosa
5,1.4,0.2,Iris-setosa
37,1.3,0.2,Iris-setosa
36,1.2,0.2,Iris-setosa
33,1.5,0.1,Iris-setosa
4,1.5,0.2,Iris-setosa
31,1.6,0.2,Iris-setosa
13,1.4,0.1,Iris-setosa
119,6.9,2.3,Iris-virginica
64,4.7,1.4,Iris-versicolor
83,3.9,1.2,Iris-versicolor
43,1.3,0.2,Iris-setosa
133,5.6,2.2,Iris-virginica
39,1.3,0.2,Iris-setosa
68,4.1,1.0,Iris-versicolor
8,1.5,0.2,Iris-setosa
32,1.5,0.4,Iris-setosa
22,1.5,0.4,Iris-setosa
87,4.7,1.5,Iris-versicolor
140,5.4,2.1,Iris-virginica
60,3.9,1.4,Iris-versicolor
107,4.5,1.7,Iris-virginica
122,4.9,2.0,Iris-virginica
80,3.5,1.0,Iris-versicolor
130,5.8,1.6,Iris-virginica
85,4.5,1.5,Iris-versicolor
11,1.5,0.2,Iris-setosa
104,5.6,1.8,Iris-virginica
20,1.5,0.3,Iris-setosa
144,5.9,2.3,Iris-virginica
125,5.7,2.1,Iris-virginica
27,1.6,0.4,Iris-setosa
120,5.0,1.5,Iris-virginica
24,1.7,0.5,Iris-setosa
72,4.0,1.3,Iris-versicolor
126,6.0,1.8,Iris-virginica
132,6.4,2.0,Iris-virginica
62,4.2,1.5,Iris-versicolor
54,4.0,1.3,Iris-versicolor
141,5.6,2.4,Iris-virginica
